Displacement,Force
(mm),(kN)
"0.4381","36.0336"
"0.4395","36.1414"
"0.4413","36.2741"
"0.4432","36.4243"
"0.4450","36.5695"
"0.4466","36.6838"
"0.4480","36.7887"
"0.4497","36.9182"
"0.4516","37.0669"
"0.4535","37.2158"
"0.4551","37.3367"
"0.4565","37.4362"
"0.4580","37.5525"
"0.4598","37.6939"
"0.4617","37.8398"
"0.4634","37.9667"
"0.4648","38.0682"
"0.4662","38.1726"
"0.4679","38.3052"
"0.4698","38.4543"
"0.4717","38.5946"
"0.4732","38.7076"
"0.4746","38.8140"
"0.4763","38.9410"
"0.4782","39.0889"
"0.4801","39.2367"
"0.4817","39.3555"
"0.4831","39.4570"
"0.4847","39.5748"
"0.4865","39.7136"
"0.4884","39.8588"
"0.4900","39.9832"
"0.4914","40.0821"
"0.4928","40.1891"
"0.4946","40.3242"
"0.4966","40.4720"
"0.4984","40.6123"
"0.4999","40.7236"
"0.5013","40.8274"
"0.5030","40.9572"
"0.5050","41.1051"
"0.5068","41.2478"
"0.5084","41.3627"
"0.5098","41.4626"
"0.5113","41.5789"
"0.5132","41.7192"
"0.5151","41.8628"
"0.5167","41.9831"
"0.5180","42.0824"
"0.5195","42.1903"
"0.5213","42.3252"
"0.5232","42.4745"
"0.5250","42.6116"
"0.5265","42.7188"
"0.5279","42.8242"
"0.5296","42.9547"
"0.5316","43.1025"
"0.5335","43.2474"
"0.5350","43.3607"
"0.5364","43.4585"
"0.5380","43.5779"
"0.5398","43.7173"
"0.5417","43.8586"
"0.5433","43.9791"
"0.5447","44.0769"
"0.5462","44.1852"
"0.5480","44.3226"
"0.5499","44.4707"
"0.5517","44.6054"
"0.5532","44.7130"
"0.5546","44.8177"
"0.5564","44.9477"
"0.5583","45.0957"
"0.5602","45.2353"
"0.5617","45.3450"
"0.5631","45.4440"
"0.5647","45.5618"
"0.5665","45.7005"
"0.5684","45.8430"
"0.5700","45.9603"
"0.5714","46.0573"
"0.5729","46.1678"
"0.5747","46.3036"
"0.5766","46.4490"
"0.5784","46.5817"
"0.5798","46.6863"
"0.5813","46.7906"
"0.5830","46.9220"
"0.5850","47.0673"
"0.5868","47.2047"
"0.5883","47.3134"
"0.5897","47.4117"
"0.5913","47.5315"
"0.5932","47.6717"
"0.5951","47.8110"
"0.5966","47.9245"
"0.5980","48.0207"
"0.5995","48.1306"
"0.6013","48.2668"
"0.6033","48.4130"
"0.6050","48.5422"
"0.6065","48.6449"
"0.6080","48.7505"
"0.6097","48.8817"
"0.6117","49.0264"
"0.6135","49.1613"
"0.6150","49.2662"
"0.6164","49.3650"
"0.6180","49.4864"
"0.6199","49.6260"
"0.6218","49.7638"
"0.6233","49.8747"
"0.6246","49.9696"
"0.6262","50.0812"
"0.6280","50.2172"
"0.6299","50.3602"
"0.6317","50.4855"
"0.6331","50.5858"
"0.6346","50.6914"
"0.6363","50.8228"
"0.6383","50.9660"
"0.6401","51.0992"
"0.6416","51.2055"
"0.6430","51.3060"
"0.6447","51.4286"
"0.6466","51.5678"
"0.6484","51.7029"
"0.6499","51.8111"
"0.6513","51.9064"
"0.6529","52.0201"
"0.6547","52.1566"
"0.6567","52.2982"
"0.6584","52.4196"
"0.6598","52.5177"
"0.6613","52.6243"
"0.6631","52.7577"
"0.6651","52.9012"
"0.6668","53.0303"
"0.6683","53.1310"
"0.6697","53.2291"
"0.6714","53.3523"
"0.6733","53.4900"
"0.6751","53.6219"
"0.6766","53.7275"
"0.6779","53.8209"
"0.6795","53.9329"
"0.6814","54.0678"
"0.6833","54.2071"
"0.6850","54.3256"
"0.6864","54.4230"
"0.6879","54.5301"
"0.6897","54.6642"
"0.6917","54.8088"
"0.6935","54.9375"
"0.6949","55.0379"
"0.6963","55.1380"
"0.6981","55.2621"
"0.7000","55.4004"
"0.7018","55.5323"
"0.7032","55.6359"
"0.7046","55.7295"
"0.7062","55.8431"
"0.7081","55.9787"
"0.7100","56.1179"
"0.7117","56.2363"
"0.7131","56.3328"
"0.7146","56.4403"
"0.7165","56.5740"
"0.7184","56.7163"
"0.7202","56.8407"
"0.7216","56.9388"
"0.7230","57.0376"
"0.7248","57.1611"
"0.7266","57.2974"
"0.7284","57.4249"
"0.7299","57.5248"
"0.7312","57.6169"
"0.7329","57.7300"
"0.7347","57.8649"
"0.7366","58.0025"
"0.7383","58.1185"
"0.7397","58.2148"
"0.7412","58.3234"
"0.7431","58.4573"
"0.7451","58.5983"
"0.7468","58.7210"
"0.7482","58.8172"
"0.7497","58.9161"
"0.7514","59.0399"
"0.7533","59.1750"
"0.7551","59.2999"
"0.7565","59.3972"
"0.7579","59.4904"
"0.7596","59.6063"
"0.7614","59.7409"
"0.7634","59.8765"
"0.7650","59.9892"
"0.7664","60.0836"
"0.7680","60.1934"
"0.7699","60.3275"
"0.7718","60.4652"
"0.7735","60.5829"
"0.7749","60.6762"
"0.7763","60.7748"
"0.7781","60.8988"
"0.7800","61.0336"
"0.7817","61.1564"
"0.7832","61.2534"
"0.7845","61.3467"
"0.7862","61.4623"
"0.7881","61.5974"
"0.7900","61.7317"
"0.7916","61.8409"
"0.7930","61.9358"
"0.7946","62.0465"
"0.7965","62.1791"
"0.7984","62.3166"
"0.8001","62.4329"
"0.8015","62.5250"
"0.8030","62.6255"
"0.8048","62.7504"
"0.8067","62.8828"
"0.8084","63.0025"
"0.8098","63.0965"
"0.8112","63.1890"
"0.8129","63.3073"
"0.8148","63.4422"
"0.8167","63.5726"
"0.8183","63.6792"
"0.8197","63.7726"
"0.8213","63.8829"
"0.8232","64.0153"
"0.8251","64.1482"
"0.8268","64.2579"
"0.8282","64.3487"
"0.8297","64.4486"
"0.8315","64.5714"
"0.8333","64.7028"
"0.8350","64.8195"
"0.8365","64.9107"
"0.8379","65.0037"
"0.8396","65.1209"
"0.8415","65.2530"
"0.8434","65.3814"
"0.8449","65.4833"
"0.8463","65.5733"
"0.8479","65.6840"
"0.8498","65.8149"
"0.8518","65.9465"
"0.8534","66.0570"
"0.8548","66.1462"
"0.8563","66.2459"
"0.8581","66.3706"
"0.8600","66.5008"
"0.8617","66.6160"
"0.8631","66.7081"
"0.8646","66.8002"
"0.8663","66.9167"
"0.8682","67.0495"
"0.8700","67.1754"
"0.8716","67.2759"
"0.8730","67.3676"
"0.8746","67.4783"
"0.8765","67.6095"
"0.8785","67.7416"
"0.8801","67.8478"
"0.8815","67.9361"
"0.8830","68.0377"
"0.8848","68.1607"
"0.8867","68.2888"
"0.8884","68.4005"
"0.8898","68.4873"
"0.8912","68.5786"
"0.8930","68.6959"
"0.8948","68.8244"
"0.8967","68.9460"
"0.8982","69.0444"
"0.8996","69.1339"
"0.9013","69.2446"
"0.9032","69.3756"
"0.9051","69.5032"
"0.9067","69.6067"
"0.9081","69.6948"
"0.9097","69.7954"
"0.9115","69.9185"
"0.9134","70.0460"
"0.9151","70.1525"
"0.9164","70.2376"
"0.9179","70.3301"
"0.9196","70.4452"
"0.9215","70.5722"
"0.9233","70.6920"
"0.9248","70.7859"
"0.9263","70.8749"
"0.9280","70.9868"
"0.9299","71.1142"
"0.9318","71.2396"
"0.9334","71.3397"
"0.9348","71.4238"
"0.9364","71.5248"
"0.9382","71.6462"
"0.9401","71.7685"
"0.9417","71.8711"
"0.9431","71.9527"
"0.9445","72.0406"
"0.9463","72.1551"
"0.9482","72.2807"
"0.9500","72.3951"
"0.9515","72.4860"
"0.9529","72.5735"
"0.9546","72.6828"
"0.9566","72.8096"
"0.9584","72.9323"
"0.9600","73.0282"
"0.9614","73.1125"
"0.9630","73.2135"
"0.9649","73.3319"
"0.9667","73.4514"
"0.9683","73.5494"
"0.9697","73.6279"
"0.9712","73.7186"
"0.9730","73.8341"
"0.9749","73.9564"
"0.9767","74.0683"
"0.9782","74.1559"
"0.9796","74.2418"
"0.9814","74.3529"
"0.9833","74.4780"
"0.9852","74.5937"
"0.9867","74.6843"
"0.9881","74.7651"
"0.9897","74.8628"
"0.9916","74.9790"
"0.9934","75.0936"
"0.9950","75.1862"
"0.9963","75.2635"
"0.9979","75.3522"
"0.9997","75.4640"
"1.0016","75.5842"
"1.0033","75.6919"
"1.0048","75.7751"
"1.0062","75.8603"
"1.0080","75.9690"
"1.0099","76.0902"
"1.0118","76.2046"
"1.0133","76.2925"
"1.0147","76.3700"
"1.0164","76.4676"
"1.0182","76.5819"
"1.0201","76.6939"
"1.0216","76.7853"
"1.0230","76.8597"
"1.0245","76.9459"
"1.0263","77.0573"
"1.0283","77.1751"
"1.0300","77.2785"
"1.0315","77.3600"
"1.0330","77.4433"
"1.0348","77.5499"
"1.0367","77.6691"
"1.0385","77.7768"
"1.0400","77.8580"
"1.0414","77.9345"
"1.0430","78.0297"
"1.0449","78.1408"
"1.0467","78.2513"
"1.0483","78.3380"
"1.0496","78.4097"
"1.0512","78.4976"
"1.0530","78.6076"
"1.0549","78.7218"
"1.0566","78.8223"
"1.0581","78.9004"
"1.0596","78.9817"
"1.0614","79.0886"
"1.0633","79.2044"
"1.0651","79.3088"
"1.0666","79.3901"
"1.0680","79.4652"
"1.0697","79.5608"
"1.0716","79.6732"
"1.0734","79.7799"
"1.0749","79.8628"
"1.0763","79.9352"
"1.0779","80.0221"
"1.0797","80.1301"
"1.0817","80.2438"
"1.0833","80.3385"
"1.0848","80.4124"
"1.0863","80.4942"
"1.0881","80.5987"
"1.0900","80.7116"
"1.0918","80.8131"
"1.0933","80.8881"
"1.0947","80.9616"
"1.0964","81.0586"
"1.0983","81.1659"
"1.1001","81.2679"
"1.1016","81.3490"
"1.1030","81.4168"
"1.1046","81.5010"
"1.1064","81.6069"
"1.1083","81.7129"
"1.1100","81.8000"
"1.1114","81.8692"
"1.1129","81.9448"
"1.1147","82.0435"
"1.1167","82.1483"
"1.1185","82.2023"
"1.1200","82.2338"
"1.1214","82.2820"
"1.1230","82.3701"
"1.1249","82.4785"
"1.1267","82.5810"
"1.1282","82.6556"
"1.1296","82.7200"
"1.1313","82.8038"
"1.1331","82.9042"
"1.1350","83.0051"
"1.1366","83.0882"
"1.1380","83.1531"
"1.1396","83.2283"
"1.1415","83.3276"
"1.1434","83.4311"
"1.1451","83.5180"
"1.1466","83.5845"
"1.1480","83.6518"
"1.1498","83.7415"
"1.1517","83.8421"
"1.1534","83.9321"
"1.1549","83.9976"
"1.1563","84.0579"
"1.1579","84.1367"
"1.1598","84.2340"
"1.1616","84.3317"
"1.1632","84.4093"
"1.1647","84.4711"
"1.1662","84.5459"
"1.1681","84.6425"
"1.1700","84.7446"
"1.1718","84.8329"
"1.1732","84.8969"
"1.1747","84.9633"
"1.1765","85.0524"
"1.1783","85.1493"
"1.1801","85.2369"
"1.1816","85.3012"
"1.1829","85.3593"
"1.1846","85.4376"
"1.1864","85.5349"
"1.1883","85.6312"
"1.1899","85.7078"
"1.1914","85.7700"
"1.1930","85.8440"
"1.1948","85.9400"
"1.1968","86.0406"
"1.1985","86.1229"
"1.1999","86.1836"
"1.2014","86.2498"
"1.2032","86.3362"
"1.2050","86.4298"
"1.2068","86.5139"
"1.2082","86.5738"
"1.2096","86.6308"
"1.2112","86.7104"
"1.2131","86.8054"
"1.2150","86.8979"
"1.2166","86.9717"
"1.2180","87.0308"
"1.2196","87.1045"
"1.2215","87.2004"
"1.2234","87.2980"
"1.2251","87.3774"
"1.2265","87.4377"
"1.2280","87.5020"
"1.2298","87.5881"
"1.2317","87.6816"
"1.2334","87.7622"
"1.2348","87.8208"
"1.2362","87.8791"
"1.2379","87.9579"
"1.2398","88.0515"
"1.2417","88.1441"
"1.2432","88.2145"
"1.2447","88.2735"
"1.2463","88.3494"
"1.2482","88.4432"
"1.2501","88.5381"
"1.2518","88.6141"
"1.2532","88.6689"
"1.2547","88.7325"
"1.2565","88.8186"
"1.2583","88.9097"
"1.2601","88.9885"
"1.2615","89.0464"
"1.2629","89.1024"
"1.2646","89.1809"
"1.2665","89.2750"
"1.2683","89.3646"
"1.2699","89.4327"
"1.2713","89.4918"
"1.2730","89.5659"
"1.2749","89.6587"
"1.2768","89.7530"
"1.2784","89.8250"
"1.2798","89.8795"
"1.2814","89.9462"
"1.2832","90.0316"
"1.2850","90.1217"
"1.2867","90.1984"
"1.2881","90.2526"
"1.2896","90.3108"
"1.2913","90.3933"
"1.2932","90.4858"
"1.2950","90.5729"
"1.2966","90.6388"
"1.2980","90.6950"
"1.2997","90.7704"
"1.3016","90.8634"
"1.3035","90.9525"
"1.3051","91.0212"
"1.3065","91.0762"
"1.3080","91.1418"
"1.3098","91.2276"
"1.3117","91.3165"
"1.3134","91.3894"
"1.3148","91.4434"
"1.3162","91.5028"
"1.3180","91.5831"
"1.3198","91.6744"
"1.3217","91.7596"
"1.3232","91.8210"
"1.3246","91.8758"
"1.3263","91.9506"
"1.3282","92.0415"
"1.3301","92.1319"
"1.3317","92.2018"
"1.3331","92.2550"
"1.3347","92.3210"
"1.3365","92.4082"
"1.3384","92.4955"
"1.3400","92.5688"
"1.3414","92.6236"
"1.3429","92.6818"
"1.3447","92.7627"
"1.3466","92.8539"
"1.3483","92.9362"
"1.3499","92.9976"
"1.3513","93.0545"
"1.3530","93.1304"
"1.3549","93.2231"
"1.3568","93.3118"
"1.3584","93.3766"
"1.3598","93.4302"
"1.3614","93.4982"
"1.3632","93.5844"
"1.3651","93.6729"
"1.3667","93.7437"
"1.3681","93.7945"
"1.3696","93.8534"
"1.3713","93.9345"
"1.3732","94.0217"
"1.3750","94.1015"
"1.3765","94.1610"
"1.3779","94.2161"
"1.3796","94.2933"
"1.3816","94.3852"
"1.3834","94.4698"
"1.3850","94.5345"
"1.3864","94.5884"
"1.3880","94.6560"
"1.3899","94.7428"
"1.3918","94.8286"
"1.3934","94.8943"
"1.3947","94.9446"
"1.3962","95.0038"
"1.3980","95.0836"
"1.3999","95.1714"
"1.4017","95.2496"
"1.4031","95.3063"
"1.4046","95.3626"
"1.4064","95.4404"
"1.4083","95.5293"
"1.4101","95.6142"
"1.4117","95.6772"
"1.4131","95.7293"
"1.4147","95.7988"
"1.4166","95.8849"
"1.4184","95.9670"
"1.4200","96.0303"
"1.4214","96.0781"
"1.4229","96.1352"
"1.4247","96.2160"
